file,status,surface_id,grammar,notes,lighting,angle_deg,distance,medium,printer,paper,image_shape,top_sheet,top_aggregate,target_sheet,verdict,aggregate,coverage,renormalised,agr_cascade_ratio,agr_duty,agr_phase_duty_identity,agr_colour_pair,ink_agreement_absolute,ink_agreement_relationship,ink_mean_delta_e_absolute,ink_mean_delta_e_relationship,ink_correction_gain_b,ink_correction_gain_g,ink_correction_gain_r,ink_implied_applied_gain_b,ink_implied_applied_gain_g,ink_implied_applied_gain_r,ink_gain_in_bounds,ink_relationship_applicable,ink_n_inks,ink_n_clipped_inks,ink_gain_fallback_channels,ink_rank_correlation,error
IMG_2263.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,0,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.3143,bar-cascade-001,not_recognised,0.3143,1.0,0.3143,0.9804,0.0,0.0,0.3305,0.0,0.3305,,6.845,1.1041,0.8905,0.6546,0.9057,1.123,1.5277,True,True,2,0,,,
IMG_2264.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,30,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.0411,bar-cascade-001,not_recognised,0.0411,1.0,0.0411,0.0,0.0,0.0,0.257,0.0,0.257,,9.883,0.9676,0.9962,0.6267,1.0334,1.0038,1.5957,True,True,2,0,,,
IMG_2265.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,30,far_2m,screen,none,screen,5712x4284x3,bar-cascade-001,0.3699,bar-cascade-001,not_recognised,0.3699,1.0,0.3699,0.7061,0.0,0.6809,0.0,0.0,0.0,,20.839,1.0616,0.714,0.5688,0.942,1.4006,1.758,False,False,2,0,,,
IMG_2266.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,60,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.1468,bar-cascade-001,not_recognised,0.1468,1.0,0.1468,0.5384,0.0,0.0,0.0,0.0,0.0,,7.559,0.8606,0.7717,0.5369,1.162,1.2958,1.8624,False,False,2,0,,,
IMG_2267.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,0,fills_frame,screen,none,screen,5712x4284x3,iso-002,0.0772,bar-cascade-001,not_recognised,0.0532,1.0,0.0532,0.1994,0.0,0.0,0.0,0.0,0.0,,14.043,0.8379,0.7905,0.522,1.1934,1.265,1.9156,False,False,2,0,,,
IMG_2268.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,30,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.3482,bar-cascade-001,not_recognised,0.3482,1.0,0.3482,0.8248,0.6542,0.0,0.0,0.0,0.0,,4.569,0.947,0.8071,0.5913,1.056,1.239,1.6913,False,False,2,0,,,
IMG_2269.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,30,far_2m,screen,none,screen,5712x4284x3,bar-cascade-001,0.0469,bar-cascade-001,not_recognised,0.0469,1.0,0.0469,0.0,0.0,0.0,0.2931,0.0,0.2931,,9.97,0.9974,0.9871,0.6088,1.0026,1.0131,1.6427,True,True,2,0,,,
IMG_2270.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,60,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.2934,bar-cascade-001,not_recognised,0.2934,1.0,0.2934,0.7997,0.0,0.3004,0.0,0.0,0.0,,21.104,1.1122,0.7771,0.6409,0.8991,1.2868,1.5602,True,False,2,0,,,
IMG_2271.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 25%, dark room with warm lamp; framing estimated from image",normal_room,0,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.2281,bar-cascade-001,not_recognised,0.2281,1.0,0.2281,0.0,0.0,0.8027,0.0,0.0,0.0,,8.747,0.9743,0.7839,0.5769,1.0263,1.2757,1.7335,False,False,2,0,,,
IMG_2272.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 25%, dark room with warm lamp; framing estimated from image",normal_room,30,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.0,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.297,1.0951,1.0499,0.5977,0.9132,0.9525,1.6731,False,False,2,0,,,
IMG_2273.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 25%, dark room with warm lamp; framing estimated from image",normal_room,30,far_2m,screen,none,screen,4032x3024x3,iso-002,0.2601,bar-cascade-001,not_recognised,0.0758,1.0,0.0758,0.0,0.1058,0.0,0.3464,0.0797,0.3464,,7.513,1.0545,0.9058,0.7179,0.9483,1.104,1.3929,True,True,2,0,,,
IMG_2274.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 25%, dark room with warm lamp; framing estimated from image",normal_room,60,fills_frame,screen,none,screen,5712x4284x3,iso-002,0.0087,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.299,1.0755,2.0777,1.1223,0.9298,0.4813,0.891,False,False,2,0,,,
IMG_2275.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone off, brightness 25%, dark room with warm lamp; framing estimated from image",normal_room,0,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.0507,bar-cascade-001,not_recognised,0.0507,1.0,0.0507,0.0,0.0,0.0,0.317,0.0,0.317,,6.844,1.0172,0.8414,0.6373,0.9831,1.1885,1.569,True,True,2,0,,,
IMG_2276.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone off, brightness 25%, dark room with warm lamp; framing estimated from image",normal_room,30,fills_frame,screen,none,screen,4032x3024x3,bar-cascade-001,0.1406,bar-cascade-001,not_recognised,0.1406,1.0,0.1406,0.0,0.0,0.3214,0.3226,0.0483,0.3226,,10.682,1.0271,0.895,0.6597,0.9736,1.1173,1.5157,True,True,2,0,,,
IMG_2277.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone off, brightness 25%, dark room with warm lamp; framing estimated from image",normal_room,30,far_2m,screen,none,screen,5712x4284x3,iso-002,0.0132,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.909,1.0587,0.8925,0.5645,0.9445,1.1205,1.7713,False,False,2,0,,,
IMG_2278.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone off, brightness 25%, dark room with warm lamp; framing estimated from image",normal_room,60,fills_frame,screen,none,screen,5712x4284x3,iso-002,0.0339,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,19.383,0.6915,0.8858,1.0242,1.4462,1.1289,0.9764,True,False,2,0,,,
IMG_2279.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone off, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,0,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.5383,bar-cascade-001,candidate,0.5383,1.0,0.5383,0.8382,0.0,0.9612,0.3653,0.0,0.3653,,6.347,0.9122,0.8041,0.6135,1.0963,1.2437,1.63,True,True,2,0,,,
IMG_2280.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone off, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,30,fills_frame,screen,none,screen,4032x3024x3,bar-cascade-001,0.5026,bar-cascade-001,candidate,0.5026,1.0,0.5026,0.9025,0.0,0.6515,0.6439,0.1403,0.6439,,3.561,1.0954,0.9748,0.7494,0.9129,1.0259,1.3345,True,True,2,0,,,
IMG_2281.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone off, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,30,far_2m,screen,none,screen,5712x4284x3,bar-cascade-001,0.0393,bar-cascade-001,not_recognised,0.0393,1.0,0.0393,0.0,0.0,0.0,0.2459,0.0,0.2459,,8.87,0.9973,1.0033,0.6414,1.0027,0.9967,1.5591,True,True,2,0,,,
IMG_2282.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone off, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,60,fills_frame,screen,none,screen,5712x4284x3,iso-002,0.0464,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.737,1.0314,1.5528,0.7958,0.9696,0.644,1.2566,True,False,2,0,,,
IMG_2283.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone off, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,0,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.4726,bar-cascade-001,candidate,0.4726,1.0,0.4726,0.8436,0.0,0.5888,0.5665,0.0,0.5665,,4.335,0.9766,0.8668,0.6892,1.024,1.1536,1.451,True,True,2,0,,,
IMG_2284.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone off, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,30,fills_frame,screen,none,screen,4032x3024x3,bar-cascade-001,0.5639,bar-cascade-001,candidate,0.5639,1.0,0.5639,0.9583,0.2339,0.5421,0.7376,0.0,0.7376,,2.624,0.9015,0.8114,0.638,1.1093,1.2324,1.5675,True,True,2,0,,,
IMG_2285.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone off, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,30,far_2m,screen,none,screen,5712x4284x3,bar-cascade-001,0.2069,bar-cascade-001,not_recognised,0.2069,1.0,0.2069,0.4732,0.0,0.0,0.5046,0.0,0.5046,,4.954,0.9838,0.8543,0.6483,1.0165,1.1706,1.5425,True,True,2,0,,,
IMG_2286.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone off, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,60,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.3989,bar-cascade-001,not_recognised,0.3989,1.0,0.3989,0.7529,0.0,0.743,0.0,0.0,0.0,,18.854,0.9188,0.6941,0.5866,1.0884,1.4407,1.7048,False,False,2,0,,,
